serial_number,issued_by,project_id,status,type,methodology,date_issued,date_retired
CR0000000060,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000061,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000062,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000063,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000064,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000065,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000066,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000067,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000068,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000069,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000070,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000071,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000072,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000073,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000074,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000075,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000076,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000077,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000078,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000079,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000080,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000081,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000082,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000083,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000084,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000085,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000086,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000087,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000088,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000089,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000090,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000091,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000092,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000093,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000094,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000095,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000096,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000097,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000098,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000099,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000100,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000101,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000102,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000103,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000104,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000105,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000106,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000107,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000108,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000109,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
CR0000000110,CLIMATE_REFARM_PBC,PR00002,pre_retired,A,M1,2023-09-19,2023-09-19
